seed,arm,fold,periods,first_date,last_date,gross_return_annualised,net_return_annualised,net_sharpe,annualised_turnover,mean_cost_bp
0,B0,0,50,2017-05-12,2018-05-03,4.103501860196151e-05,-0.024787487171090822,-0.5410555156890637,7.580982857142857,4.9262940852565045
0,B0,1,50,2018-05-10,2019-05-02,0.10133293719140818,0.08017139102085996,0.9928657235804678,6.520731428571429,4.1987194782833885
0,B0,2,51,2019-05-09,2020-05-05,0.016700050761953394,-0.010954262279666543,-0.08519685245889573,8.74689075630252,5.486966873337287
0,B0,3,50,2020-05-12,2021-05-03,0.15975450610922345,0.1400945729928272,1.4026293314049674,6.410879999999999,3.900780380237344
0,B0,4,50,2021-05-10,2022-04-28,-0.08638207994004822,-0.1056625642732607,-1.1451640595955026,6.344022857142855,3.825492923256452
0,B0,5,51,2022-05-05,2023-05-04,0.3071160762723466,0.28725596613690957,0.8900671191515046,6.482823529411765,3.9404980427454483
0,B0,6,50,2023-05-11,2024-05-02,0.00514337951987816,-0.014554673678447712,-0.15959959667828905,6.4008,3.9083438885567205
0,B0,7,51,2024-05-09,2025-05-09,0.13009410414044165,0.11010429511482862,1.2227639470308769,6.670588235294116,3.966231949526391
0,B1,0,12,2017-05-12,2018-04-13,-0.0006722912592719808,-0.009800843814595426,-0.2301341910935165,2.8600000000000003,7.607127129436206
0,B1,1,12,2018-05-14,2019-04-15,0.0817762279574604,0.07458203431231668,0.9796308232904852,2.349183673469388,5.9951613709531095
0,B1,2,12,2019-05-15,2020-04-14,0.061039736522589136,0.05405032003556402,0.7822728118470706,2.2642857142857142,5.82451373918758
0,B1,3,12,2020-05-13,2021-04-14,0.2814311023279441,0.2753330872615555,1.9772029079081155,2.07,5.0816792219905285
0,B1,4,12,2021-05-13,2022-04-12,-0.05259064876242002,-0.05910154730093965,-0.848976203367679,2.21,5.425748782099694
0,B1,5,12,2022-05-12,2023-04-14,0.4745067541011976,0.4678503915273935,1.6837988581180177,2.26,5.546968811503484
0,B1,6,12,2023-05-15,2024-04-16,-0.05057952936439922,-0.05744631898885737,-0.5961882127116841,2.3100000000000005,5.722324687048461
0,B1,7,12,2024-05-15,2025-04-17,0.04177591053264108,0.03445504399313291,0.36189671937487405,2.5100000000000002,6.100722116256812
1,B0,0,50,2017-05-12,2018-05-03,-0.010173293282601364,-0.0352368735091053,-0.9496426028167947,7.683017142857142,4.9729325846237975
1,B0,1,50,2018-05-10,2019-05-02,0.08308615127280217,0.0618678442565339,0.7279312935645482,6.50982857142857,4.209981550846883
1,B0,2,51,2019-05-09,2020-05-05,0.08696009711329648,0.05952689895448713,0.502962878701768,8.667226890756302,5.443094872779631
