seed,metric,b0,b1,difference_b1_minus_b0
0,rebalances,403.0,96.0,-307.0
0,scheduled_rebalances,403.0,96.0,-307.0
0,gross_sharpe,0.5559333390854057,0.7843288908283712,0.22839555174296555
0,net_sharpe_10bp,0.4057355652563156,0.7311257201483244,0.32539015489200884
0,annualised_turnover,6.8977327188940105,2.3541836734693877,-4.543549045424623
0,cost_share_of_gross,0.2698533752717644,0.0678450570535748,-0.2020083182181896
0,net_max_drawdown,-0.1289282921176984,-0.09415209656559986,0.03477619555209854
0,gross_max_drawdown,-0.12793520826303018,-0.08667782149683612,0.04125738676619406
0,gross_total_return,0.6377760056520834,0.8366872620557412,0.1989112564036578
0,net_total_return,0.47278385281679314,1.0385694072418592,0.5657855544250661
0,gross_cagr,0.07243259954344072,0.1008425879250816,0.028409988381640883
0,net_cagr,0.049609631408919386,0.09311458209902201,0.04350495069010263
0,holding_duration_rebalances,7.422043010752688,4.773281596452328,-2.6487614143003597
0,holding_duration_sessions,37.11021505376344,100.2389135254989,63.12869847173546
0,names_changed_per_rebalance,12.955223880597014,18.989473684210527,6.034249803613513
0,long_leg_retention,0.871403924188435,0.8303264817587779,-0.04107744242965716
0,short_leg_retention,0.8640627410844862,0.7883343840968884,-0.07572835698759783
0,names_replaced_both_legs_fraction,0.13226666736353954,0.19066956707216698,0.05840289970862744
0,effective_n_long,49.526054590570716,49.78125,0.25519540942928387
0,effective_n_short,49.583126550868485,49.8125,0.22937344913151492
0,max_abs_weight,0.1,0.010869565217391304,-0.08913043478260871
0,mean_eligible_names,246.87841191066997,248.22916666666666,1.3507547559966895
0,signal_age_median_sessions,5.0,7.0,2.0
0,signal_age_p95_sessions,5.0,9.0,4.0
0,signal_age_max_sessions,1935.0,644.0,-1291.0
0,share_signals_older_than_nominal,0.021599726611184818,0.007679395719681075,-0.013920330891503744
0,net_sharpe_1bp,0.49232476642788364,0.7628711980611287,0.27054643163324504
0,cost_share_of_gross_1bp,0.1141904454142075,0.027327833432091355,-0.08686261198211614
0,net_sharpe_3bp,0.4730817625707954,0.7558172622706936,0.28273549969989814
0,cost_share_of_gross_3bp,0.1487822076047757,0.03633166090353212,-0.11245054670124358
0,net_sharpe_5bp,0.4538392056494522,0.7487629701877372,0.294923764538285
0,cost_share_of_gross_5bp,0.1833739697953439,0.04533548837497289,-0.138038481420371
0,cost_share_of_gross_10bp,0.2698533752717644,0.0678450570535748,-0.2020083182181896
