arm,seed,mean_rank_ic,hac_t_stat,ic_ir,positive_fold_count,worst_fold_ic,covered_mean_rank_ic,covered_rows,b1_step_sessions,b1_rebalances,b1_scheduled_rebalances,b1_gross_sharpe,b1_net_sharpe_10bp,b1_annualised_turnover,b1_cost_share_of_gross,b1_net_max_drawdown,b1_gross_max_drawdown,b1_gross_total_return,b1_net_total_return,b1_gross_cagr,b1_net_cagr,b1_holding_duration_rebalances,b1_holding_duration_sessions,b1_names_changed_per_rebalance,b1_long_leg_retention,b1_short_leg_retention,b1_names_replaced_both_legs_fraction,b1_effective_n_long,b1_effective_n_short,b1_max_abs_weight,b1_mean_eligible_names,b1_signal_age_median_sessions,b1_signal_age_p95_sessions,b1_signal_age_max_sessions,b1_share_signals_older_than_nominal,b1_nominal_max_signal_age,b1_net_sharpe_1bp,b1_cost_share_of_gross_1bp,b1_net_sharpe_3bp,b1_cost_share_of_gross_3bp,b1_net_sharpe_5bp,b1_cost_share_of_gross_5bp,b1_cost_share_of_gross_10bp,b1_net_sharpe_20bp,b1_cost_share_of_gross_20bp
E0,0,0.005329437332440931,0.36178610495953717,0.02916572321697594,6,-0.05826282338745633,0.0019509873815818867,88949,21,96,96,0.08159770854406845,0.034861585882667405,2.216326530612245,0.5726763204073363,-0.31613642973254186,-0.299876051950126,0.0939588811214282,-0.03999753463261002,0.0016349350112589978,-0.0050894330286479494,5.101534828807556,107.13223140495867,17.83157894736842,0.8674291177593784,0.7744197761484456,0.1790755530460882,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.06257829291023295,0.2330053743520007,0.05641859267915186,0.30848780680874194,0.05025913579633285,0.3839702392654831,0.5726763204073363,0.0040713909694227385,0.9500884826910425
E1,0,0.01488409905175374,1.3531273478114092,0.11042876017614002,7,-0.06158288678789937,0.014441784519175067,88949,21,96,96,-0.2558497573479378,-0.3427234667281637,2.291530612244898,,-0.3164351957972942,-0.2965112513613887,-0.16316808996919327,-0.21686174509635225,-0.023315778255050934,-0.03009364509239909,4.867160775370581,102.2103762827822,18.46315789473684,0.8313907189342458,0.7976919316925855,0.18545867468658428,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,-0.29115352120606414,,-0.3026181834245338,,-0.3140801961897049,,,-0.39995823011106346,
E2,0,0.030335558551431274,2.7466880499572888,0.20646830113160922,6,-0.016574099454242475,0.03275842141052297,88949,21,96,96,0.7843288908283712,0.7311257201483244,2.3541836734693877,0.0678450570535748,-0.09415209656559986,-0.08667782149683612,0.8366872620557412,1.0385694072418592,0.1008425879250816,0.09311458209902201,4.773281596452328,100.2389135254989,18.989473684210527,0.8303264817587779,0.7883343840968884,0.19066956707216698,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.7628711980611287,0.027327833432091355,0.7558172622706936,0.03633166090353212,0.7487629701877372,0.04533548837497289,0.0678450570535748,0.6958450219470965,0.11286419441077863
E2,1,0.030773994582086964,2.887914828917322,0.21599018269506878,6,-0.01006508940730869,0.03219576031476098,88949,21,96,96,0.7901030948367112,0.7431124225077724,2.356454081632653,0.0593075434491787,-0.10955336950237438,-0.10642220122149271,0.9591418449147053,1.262172272366254,0.11527150764394811,0.1074285340309653,4.809523809523809,101.0,19.010526315789473,0.8329045578794347,0.7853143728887434,0.19089053461591074,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.7711156946663241,0.023929107031854212,0.7648926960592165,0.03179098179125965,0.7586697220981138,0.0396528565506651,0.0593075434491787,0.7119986256837988,0.09861691724620592
E2,2,0.033624904463559716,3.0197234873924814,0.22491208291329431,6,-0.019897113162037912,0.035277897247509,88949,21,96,96,0.9063816734435214,0.8473230154377758,2.2864795918367347,0.06485281703455596,-0.09998438210135818,-0.09278009493787942,0.8518350011047279,1.0994370862757434,0.10469179540822005,0.09714204385966974,4.970857142857143,104.38799999999999,18.42105263157895,0.8344194860085324,0.7957481903516552,0.18491616181990592,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.8824959924513324,0.026200606125461115,0.8746792237086951,0.03478998632748219,0.8668627639666859,0.04337936652950327,0.06485281703455596,0.8082499178339613,0.10779971804466135
E2,3,0.03199038204091364,3.042939355463185,0.2235066351241811,6,-0.01442612224101068,0.03320959314874282,88949,21,96,96,0.7719487556617699,0.7066588811350387,2.3642346938775507,0.0842990567576573,-0.11354065851198647,-0.10983823585409735,0.6774235810981372,0.7730936195214426,0.08186967313308458,0.07421560832974139,4.804635761589404,100.89735099337749,19.073684210526316,0.8257357772652857,0.7912599122028675,0.19150215526592348,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.745574278195189,0.03404249566090872,0.7369257356232661,0.04521062034907507,0.7282775710834977,0.056378745037241426,0.0842990567576573,0.6634294246912019,0.14013968019848902
E2,4,0.03196558936101564,3.0154500754824216,0.22011487508709615,7,-0.015033159345177871,0.03305627013578298,88949,21,96,96,0.6549019115636916,0.6105724274314556,2.341479591836735,0.0675311635140964,-0.1313444838329958,-0.12589814055350323,0.8361497832547683,0.992666831483985,0.09767987797651179,0.09000712426016877,4.855629877369008,101.96822742474917,18.88421052631579,0.8308033768841293,0.7899609038123256,0.18961785965177252,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.6370407009496002,0.027206682425071717,0.6311586069012477,0.036167678222632754,0.6252766561153749,0.0451286740201938,0.0675311635140964,0.5811669224293331,0.11233614250190158
E2,5,0.031098949836586835,2.6386559378839602,0.2059656340730171,6,-0.01728785106562155,0.035289790379191825,88949,21,96,96,0.47773526434892255,0.4122661392048225,2.3077040816326533,0.1367471243584713,-0.12508369968447686,-0.12015555648529708,0.4078767817775028,0.3607516599022056,0.046507486270202625,0.039255565844310336,4.920203735144312,103.32427843803056,18.6,0.8361107991665433,0.790359174333349,0.1867650132500539,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.45126333545756675,0.0552741397215627,0.4425963054166184,0.07337924741865351,0.4339298299486076,0.09148435511574432,0.1367471243584713,0.3689500426572445,0.2272726628439253
E2,6,0.0348231745454743,3.217839540167385,0.24095984970839482,6,-0.009833833310900786,0.037012547884296074,88949,21,96,96,0.7082793306002354,0.6438855980610434,2.3127040816326527,0.09045540408636663,-0.12431920734232427,-0.12057507473575846,0.6184987483373756,0.6747766223926106,0.07403477732705044,0.06658288695936698,4.878599661208357,102.4505928853755,18.642105263157895,0.8304409682856542,0.7952497937390057,0.18715461898767005,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.6822047333264062,0.03661060833692676,0.6736879103948931,0.048576118503468955,0.665171912638395,0.06054162867001114,0.09045540408636663,0.6013293026190621,0.1502829549190776
E2,7,0.031027854755376963,2.8231319251075027,0.21099636898030075,6,-0.014031240203027323,0.03322133117233564,88949,21,96,96,0.7721399838226586,0.7122694629203267,2.3428316326530614,0.07724002329268478,-0.08681404187171571,-0.07933084844217131,0.7321028305154983,0.8604638992312537,0.08831553699538408,0.080693790072625,4.828969359331476,101.408356545961,18.894736842105264,0.824430982140166,0.7961365681283955,0.1897162248657192,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.7479676621304301,0.031158005707192196,0.7400341446739886,0.04139845405952387,0.732100953892993,0.051638902411855564,0.07724002329268478,0.6726133086692994,0.1284422650543432
E2,8,0.032003833127675615,2.905153794502897,0.21867797352930887,6,-0.01543692799597791,0.03305391677992114,88949,21,96,96,0.6569400711112902,0.5945038812636393,2.3326020408163264,0.09479834711616576,-0.13663593655684458,-0.13247277808296343,0.5935059225292258,0.6277164939558584,0.0702570124144497,0.06278972136889949,4.888640179071069,102.66144376049245,18.810526315789474,0.833808268523827,0.7885550288765388,0.1888183512998169,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.6317780180644131,0.03820334424810075,0.6234942128788088,0.050780011552115194,0.6152107793042756,0.06335667885612965,0.09479834711616576,0.553097796527848,0.15768168363623797
E2,9,0.034525153325974015,2.9420214197961996,0.2246251961711308,6,-0.01969944993800715,0.03669504842235383,88949,21,96,96,0.4704964495454175,0.40669768593557387,2.325204081632653,0.13534335079663437,-0.15027046351929396,-0.14664355266193374,0.4153347375994822,0.36615191240883016,0.04708266430156205,0.03977021911113199,4.87871982032566,102.45311622683886,18.74736842105263,0.8305986373029177,0.7929795684864336,0.1882108971053244,49.78125,49.8125,0.010869565217391304,248.22916666666666,7.0,9.0,644,0.007679395719681075,9,0.4446877615087537,0.05472659581718777,0.4362447678547184,0.07264143025706479,0.4278021971642932,0.09055626469694184,0.13534335079663437,0.3644973987278809,0.2249175229960195
