comparison,seed,metric,base,rich,difference
data_value_boosted,0,mean_rank_ic,0.030335558551431274,0.031724789908119014,0.0013892313566877396
data_value_boosted,0,b1_net_sharpe_10bp,0.7311257201483244,0.5782037817460336,-0.15292193840229085
data_value_boosted,0,b1_gross_sharpe,0.7843288908283712,0.6395973577527791,-0.14473153307559206
data_value_boosted,0,b1_annualised_turnover,2.3541836734693877,2.2915561224489798,-0.06262755102040796
data_value_boosted,0,b1_net_max_drawdown,-0.09415209656559986,-0.19594229940351637,-0.10179020283791651
data_value_boosted,0,b1_cost_share_of_gross,0.0678450570535748,0.09610314384011655,0.02825808678654175
data_value_boosted,0,positive_fold_count,6.0,7.0,1.0
data_value_boosted,1,mean_rank_ic,0.030773994582086964,0.03254103488140071,0.0017670402993137484
data_value_boosted,1,b1_net_sharpe_10bp,0.7431124225077724,0.4896306043970615,-0.2534818181107109
data_value_boosted,1,b1_gross_sharpe,0.7901030948367112,0.5513121563117435,-0.2387909385249677
data_value_boosted,1,b1_annualised_turnover,2.356454081632653,2.2590306122448975,-0.09742346938775537
data_value_boosted,1,b1_net_max_drawdown,-0.10955336950237438,-0.15705208183108565,-0.04749871232871128
data_value_boosted,1,b1_cost_share_of_gross,0.0593075434491787,0.11208331517568988,0.052775771726511184
data_value_boosted,1,positive_fold_count,6.0,7.0,1.0
data_value_boosted,2,mean_rank_ic,0.033624904463559716,0.03324570090681719,-0.00037920355674252865
data_value_boosted,2,b1_net_sharpe_10bp,0.8473230154377758,0.5498217127874832,-0.2975013026502926
data_value_boosted,2,b1_gross_sharpe,0.9063816734435214,0.6094936738196002,-0.2968879996239212
data_value_boosted,2,b1_annualised_turnover,2.2864795918367347,2.2764030612244897,-0.010076530612245005
data_value_boosted,2,b1_net_max_drawdown,-0.09998438210135818,-0.23483608076522622,-0.13485169866386804
data_value_boosted,2,b1_cost_share_of_gross,0.06485281703455596,0.09803320251378636,0.0331803854792304
data_value_boosted,2,positive_fold_count,6.0,7.0,1.0
data_value_boosted,3,mean_rank_ic,0.03199038204091364,0.03383635244800336,0.0018459704070897184
data_value_boosted,3,b1_net_sharpe_10bp,0.7066588811350387,0.42618726363769965,-0.28047161749733907
data_value_boosted,3,b1_gross_sharpe,0.7719487556617699,0.4990549472174304,-0.2728938084443395
data_value_boosted,3,b1_annualised_turnover,2.3642346938775507,2.2915051020408166,-0.07272959183673411
data_value_boosted,3,b1_net_max_drawdown,-0.11354065851198647,-0.17422480065885482,-0.06068414214686835
data_value_boosted,3,b1_cost_share_of_gross,0.0842990567576573,0.14626832655398478,0.061969269796327484
data_value_boosted,3,positive_fold_count,6.0,7.0,1.0
data_value_boosted,4,mean_rank_ic,0.03196558936101564,0.029904491284393243,-0.0020610980766223932
data_value_boosted,4,b1_net_sharpe_10bp,0.6105724274314556,0.5366106317865701,-0.07396179564488548
data_value_boosted,4,b1_gross_sharpe,0.6549019115636916,0.5972766171856929,-0.05762529437799868
data_value_boosted,4,b1_annualised_turnover,2.341479591836735,2.277780612244898,-0.06369897959183701
data_value_boosted,4,b1_net_max_drawdown,-0.1313444838329958,-0.17134276091395395,-0.039998277080958156
data_value_boosted,4,b1_cost_share_of_gross,0.0675311635140964,0.10165849712030516,0.03412733360620876
data_value_boosted,4,positive_fold_count,7.0,7.0,0.0
data_value_boosted,5,mean_rank_ic,0.031098949836586835,0.03265008920621212,0.0015511393696252818
